HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
Granada,Celta,1,1,D,15,13,6,6,11,13,5,4,1,3,0,0
Vallecano,Sociedad,1,1,D,13,8,7,3,15,7,8,5,2,1,0,0
Barcelona,Mallorca,2,1,H,17,6,5,2,13,12,5,2,2,3,0,0
Getafe,Betis,0,0,D,13,9,2,4,13,13,2,4,1,1,0,0
Levante,Sociedad,2,1,H,16,21,7,6,10,11,7,6,2,3,0,0
Mallorca,Granada,2,6,A,18,14,8,7,11,13,5,5,3,2,0,0
Ath Bilbao,Valencia,0,0,D,10,4,5,1,13,22,4,2,4,4,0,1
Cadiz,Elche,3,0,H,17,4,7,2,18,13,8,1,1,0,0,1
Celta,Alaves,4,0,H,15,3,7,1,7,7,7,1,1,3,0,1
Betis,Barcelona,1,2,A,14,11,5,5,16,18,4,8,1,2,0,0
Getafe,Vallecano,0,0,D,12,12,6,1,20,14,4,5,3,4,0,0
Villarreal,Sevilla,1,1,D,14,7,6,2,14,15,4,2,3,0,0,0
Espanol,Osasuna,1,1,D,12,12,3,5,6,15,6,6,1,3,0,0
Ath Madrid,Real Madrid,1,0,H,16,15,2,6,17,7,4,6,2,4,0,0
Valencia,Betis,0,3,A,19,9,5,5,17,11,7,3,1,3,0,0
Granada,Ath Bilbao,1,0,H,12,8,2,1,20,11,2,7,4,2,0,1
Barcelona,Celta,3,1,H,10,13,4,5,18,6,2,8,3,0,0,1
Alaves,Espanol,2,1,H,27,5,9,3,11,15,12,3,3,3,0,1
Osasuna,Getafe,1,1,D,12,6,1,0,10,17,7,2,2,4,0,1
Sevilla,Mallorca,0,0,D,18,10,4,2,11,18,6,3,4,6,0,0
Elche,Ath Madrid,0,2,A,9,11,0,6,16,7,6,3,2,2,0,0
Sociedad,Cadiz,3,0,H,13,14,7,1,13,11,2,12,4,2,0,0
Vallecano,Villarreal,1,5,A,17,11,3,8,13,10,9,3,5,2,0,0
Real Madrid,Levante,6,0,H,27,16,16,1,8,6,6,6,2,1,0,0
Espanol,Valencia,1,1,D,5,18,3,5,18,15,2,3,4,1,0,0
Ath Bilbao,Osasuna,2,0,H,14,8,8,1,6,14,10,6,0,0,0,0
Ath Madrid,Sevilla,1,1,D,12,8,3,4,14,18,4,5,2,5,0,0
Betis,Granada,2,0,H,11,14,4,4,11,17,4,9,0,1,0,0
Cadiz,Real Madrid,1,1,D,21,16,7,7,13,11,10,2,7,2,0,0
Celta,Elche,1,0,H,14,10,5,1,11,12,7,5,2,2,0,0
Getafe,Barcelona,0,0,D,9,5,3,1,9,8,5,5,1,2,0,0
Levante,Alaves,3,1,H,15,6,5,2,19,10,3,4,8,6,0,0
Mallorca,Vallecano,2,1,H,12,11,5,4,13,8,5,3,1,0,0,0
Villarreal,Sociedad,1,2,A,10,11,4,6,12,16,4,3,4,2,0,0
Real Madrid,Betis,0,0,D,17,11,3,2,7,12,8,5,0,0,0,0
Vallecano,Levante,2,4,A,19,14,8,7,8,12,7,3,0,3,0,0
Valencia,Celta,2,0,H,10,9,3,3,22,19,3,3,3,3,0,0
Elche,Getafe,3,1,H,19,7,9,2,11,9,8,3,2,2,0,0
Alaves,Cadiz,0,1,A,9,13,2,6,11,13,4,4,0,1,0,0
Granada,Espanol,0,0,D,15,10,5,5,9,12,7,3,1,0,0,0
Osasuna,Mallorca,0,2,A,11,14,1,6,8,14,5,7,2,2,0,0
Barcelona,Villarreal,0,2,A,14,4,3,3,12,7,12,1,3,1,0,0
Sevilla,Ath Bilbao,1,0,H,13,9,3,1,13,12,5,0,3,3,0,0
Sociedad,Ath Madrid,1,2,A,12,6,3,5,16,11,3,2,4,2,0,0
Eibar,Celta,0,0,D,0,0,1,8,6,1,3,17,13,3,3,4
Granada,Ath Bilbao,2,0,H,0,0,2,4,9,2,2,8,10,1,2,3
Cadiz,Osasuna,0,2,A,0,1,3,12,6,3,4,14,21,6,2,2
Alaves,Betis,0,1,A,0,0,2,7,11,2,4,19,17,6,4,3
Valladolid,Sociedad,1,1,D,1,0,3,8,8,3,2,15,17,5,3,4
Villarreal,Huesca,1,1,D,0,1,4,15,10,4,3,10,22,6,6,1
Valencia,Levante,4,2,H,2,2,8,14,19,8,8,9,14,3,4,1
Villarreal,Eibar,2,1,H,0,0,8,14,12,8,4,5,12,4,3,1
Getafe,Osasuna,1,0,H,0,0,1,7,10,1,3,19,13,4,1,4
Celta,Valencia,2,1,H,1,0,6,23,9,6,3,12,13,6,6,3
Huesca,Cadiz,0,2,A,0,1,0,4,6,0,4,18,23,2,1,3
Betis,Valladolid,2,0,H,2,0,6,16,9,6,2,18,10,5,3,3
Granada,Alaves,2,1,H,1,1,3,10,5,3,3,9,12,4,4,0
Sociedad,Real Madrid,0,0,D,0,0,1,6,16,1,4,17,12,1,11,2
Alaves,Getafe,0,0,D,0,0,0,9,11,0,4,13,13,1,5,2
Valencia,Huesca,1,1,D,1,0,2,5,17,2,4,14,20,4,4,0
Elche,Sociedad,0,3,A,0,0,2,5,27,2,7,11,12,2,11,3
Betis,Real Madrid,2,3,A,2,1,5,15,11,5,4,9,10,8,3,5
Osasuna,Levante,1,3,A,1,1,4,9,11,4,5,15,16,3,7,2
Eibar,Ath Bilbao,1,2,A,0,1,1,7,9,1,5,15,12,5,4,1
Ath Madrid,Granada,6,1,H,1,0,10,17,11,10,6,16,14,1,1,3
Cadiz,Sevilla,1,3,A,0,0,5,12,14,5,5,9,14,6,5,4
Valladolid,Celta,1,1,D,0,1,4,10,5,4,1,26,18,4,1,3
Barcelona,Villarreal,4,0,H,4,0,9,17,5,9,1,9,10,8,4,0
Sociedad,Valencia,0,1,A,0,0,3,11,9,3,5,16,15,9,3,1
Getafe,Betis,3,0,H,3,0,4,8,10,4,2,15,17,1,4,4
Huesca,Ath Madrid,0,0,D,0,0,3,9,16,3,2,13,10,5,7,1
Villarreal,Alaves,3,1,H,2,1,6,10,8,6,3,11,13,2,0,0
Eibar,Elche,0,1,A,0,1,4,12,5,4,2,9,14,3,2,2
Real Madrid,Valladolid,1,0,H,0,0,5,15,11,5,5,11,7,4,7,2
Ath Bilbao,Cadiz,0,1,A,0,0,4,13,3,4,1,15,16,5,2,3
Sevilla,Levante,1,0,H,0,0,2,16,3,2,1,14,17,2,4,5
Celta,Barcelona,0,3,A,0,1,3,10,6,3,3,22,10,3,7,5
Valladolid,Eibar,1,2,A,1,1,3,9,11,3,5,11,21,3,4,2
Ath Madrid,Villarreal,0,0,D,0,0,1,14,6,1,2,11,7,9,1,1
Elche,Huesca,0,0,D,0,0,0,2,18,0,4,8,26,0,5,0
Sociedad,Getafe,3,0,H,1,0,6,11,5,6,1,21,13,5,4,3
Valencia,Betis,0,2,A,0,1,2,5,17,2,8,11,14,4,7,2
Osasuna,Celta,2,0,H,1,0,5,14,9,5,3,19,10,6,5,3
Alaves,Ath Bilbao,1,0,H,0,0,3,8,8,3,0,20,17,0,6,2
Levante,Real Madrid,0,2,A,0,1,4,11,13,4,3,14,8,4,6,2
Cadiz,Granada,1,1,D,0,1,4,14,13,4,5,16,16,2,5,2
Barcelona,Sevilla,1,1,D,1,1,5,12,13,5,1,11,18,6,5,1
Granada,Sevilla,1,0,H,0,0,3,13,8,3,3,16,11,5,1,4
Celta,Ath Madrid,0,2,A,0,1,5,15,9,5,4,16,18,8,4,3
Real Madrid,Cadiz,0,1,A,0,1,2,14,14,2,5,7,5,4,11,2
Getafe,Barcelona,1,0,H,0,0,4,9,7,4,1,20,10,7,2,4
Eibar,Osasuna,0,0,D,0,0,6,10,8,6,2,14,14,6,7,2
Ath Bilbao,Levante,2,0,H,0,0,5,14,6,5,1,11,10,9,3,3
Villarreal,Valencia,2,1,H,1,1,6,16,11,6,3,13,8,3,7,4
Alaves,Elche,0,2,A,0,1,2,13,7,2,3,11,11,2,6,2
Huesca,Valladolid,2,2,D,0,1,7,12,5,7,3,14,24,3,1,1
Betis,Sociedad,0,3,A,0,1,1,7,8,1,5,11,18,6,2,2
Elche,Valencia,2,1,H,2,0,2,3,14,2,4,15,8,0,7,3
Barcelona,Real Madrid,1,3,A,1,1,4,10,15,4,9,11,13,7,7,3
Osasuna,Ath Bilbao,1,0,H,0,0,2,7,13,2,5,18,10,2,5,3
Sevilla,Eibar,0,1,A,0,1,3,21,3,3,1,11,12,13,3,0
Ath Madrid,Betis,2,0,H,0,0,6,13,12,6,3,19,12,8,5,2
Valladolid,Alaves,0,2,A,0,0,1,5,14,1,4,9,7,2,4,1
Cadiz,Villarreal,0,0,D,0,0,0,5,7,0,2,15,7,0,5,2
Getafe,Granada,0,1,A,0,1,1,10,5,1,2,19,23,6,1,4
Sociedad,Huesca,4,1,H,1,0,6,13,6,6,4,12,11,4,5,2
Levante,Celta,1,1,D,0,0,3,10,10,3,3,11,19,3,2,2
Eibar,Cadiz,0,2,A,0,2,3,9,6,3,4,10,10,7,2,1
Real Madrid,Huesca,4,1,H,2,0,6,13,9,6,2,16,9,6,3,0
Ath Bilbao,Sevilla,2,1,H,0,1,5,16,7,5,3,17,19,6,1,5
Osasuna,Ath Madrid,1,3,A,0,1,3,8,11,3,6,12,10,3,2,1
Alaves,Barcelona,1,1,D,1,0,3,4,25,3,9,16,4,2,14,4
Betis,Elche,3,1,H,2,0,10,17,4,10,2,13,12,1,1,2
Celta,Sociedad,1,4,A,0,2,2,9,9,2,7,19,16,2,3,2
Granada,Levante,1,1,D,1,1,2,5,19,2,4,7,14,2,8,2
Valencia,Getafe,2,2,D,1,0,5,11,16,5,5,18,25,0,3,8
Villarreal,Valladolid,2,0,H,2,0,5,11,11,5,1,13,13,6,4,1
Elche,Celta,1,1,D,1,1,1,8,14,1,6,18,12,3,3,3
Huesca,Eibar,1,1,D,0,1,6,14,8,6,3,16,30,4,3,2
Barcelona,Betis,5,2,H,1,1,9,18,12,9,6,8,10,9,5,2
Sevilla,Osasuna,1,0,H,0,0,1,9,10,1,2,11,19,3,0,2
Ath Madrid,Cadiz,4,0,H,2,0,7,17,10,7,3,10,9,2,7,1
Getafe,Villarreal,1,3,A,1,2,5,13,9,5,5,18,11,3,3,3
Sociedad,Granada,2,0,H,2,0,9,22,2,9,1,8,11,15,0,2
Levante,Alaves,1,1,D,0,1,5,18,6,5,2,12,16,12,1,1
Valladolid,Ath Bilbao,2,1,H,1,0,4,7,17,4,2,23,11,2,11,4
Valencia,Real Madrid,4,1,H,2,1,4,7,16,4,6,13,14,1,8,3
Osasuna,Huesca,1,1,D,0,1,7,18,6,7,5,14,15,4,3,2
Levante,Elche,1,1,D,1,0,5,13,11,5,5,15,11,5,4,1
Villarreal,Real Madrid,1,1,D,0,1,1,13,6,1,1,16,14,4,2,1
Sevilla,Celta,4,2,H,2,2,10,15,10,10,7,14,20,3,2,2
Ath Madrid,Barcelona,1,0,H,1,0,2,9,13,2,4,12,6,8,8,4
Eibar,Getafe,0,0,D,0,0,5,15,8,5,3,16,22,3,4,3
Cadiz,Sociedad,0,1,A,0,0,0,2,14,0,4,14,14,1,6,2
Granada,Valladolid,1,3,A,0,1,6,16,9,6,3,16,14,5,3,4
Alaves,Valencia,2,2,D,2,0,3,13,13,3,5,21,16,4,5,1
Ath Bilbao,Betis,4,0,H,2,0,9,14,7,9,1,16,8,6,3,0
Valladolid,Levante,1,1,D,0,0,4,10,10,4,3,18,11,3,11,0
Elche,Cadiz,1,1,D,1,0,3,4,7,3,2,16,15,1,9,6
Valencia,Ath Madrid,0,1,A,0,0,2,5,14,2,6,12,15,2,7,2
Huesca,Sevilla,0,1,A,0,0,1,5,16,1,4,14,9,1,10,4
Real Madrid,Alaves,1,2,A,0,1,9,20,11,9,6,8,17,12,9,2
Barcelona,Osasuna,4,0,H,2,0,11,20,10,11,5,8,12,5,3,1
Getafe,Ath Bilbao,1,1,D,0,1,3,11,5,3,2,16,23,3,2,2
Celta,Granada,3,1,H,1,1,8,17,9,8,2,14,13,8,0,4
Sociedad,Villarreal,1,1,D,1,1,4,8,10,4,2,18,12,4,4,5
Betis,Eibar,0,2,A,0,0,3,7,11,3,6,13,14,6,2,2
Ath Bilbao,Celta,0,2,A,0,0,0,10,6,0,4,7,15,4,5,2
Levante,Getafe,3,0,H,2,0,8,12,9,8,0,12,13,5,5,2
Sevilla,Real Madrid,0,1,A,0,0,2,12,10,2,3,15,20,4,3,1
Ath Madrid,Valladolid,2,0,H,0,0,4,15,13,4,3,10,10,4,4,4
Cadiz,Barcelona,2,1,H,1,0,3,7,21,3,8,10,7,5,13,0
Granada,Huesca,3,3,D,1,1,6,15,16,6,7,12,16,4,2,2
Osasuna,Betis,0,2,A,0,0,0,10,12,0,5,16,12,2,5,3
Villarreal,Elche,0,0,D,0,0,3,12,3,3,0,16,13,4,0,3
Alaves,Sociedad,0,0,D,0,0,1,5,13,1,5,3,11,2,3,1
Eibar,Valencia,0,0,D,0,0,3,19,6,3,4,15,10,8,0,3
Valladolid,Osasuna,3,2,H,1,2,6,11,13,6,6,14,18,3,3,4
Valencia,Ath Bilbao,2,2,D,1,0,2,11,13,2,5,19,16,0,10,2
Getafe,Sevilla,0,1,A,0,0,2,8,8,2,0,14,13,5,3,2
Huesca,Alaves,1,0,H,0,0,3,11,3,3,1,14,20,5,2,1
Real Madrid,Ath Madrid,2,0,H,1,0,3,11,5,3,1,7,16,3,6,1
Sociedad,Eibar,1,1,D,1,0,2,8,16,2,4,14,11,5,4,4
Betis,Villarreal,1,1,D,0,1,5,11,7,5,2,13,14,4,8,2
Elche,Granada,0,1,A,0,1,1,9,13,1,5,16,15,6,5,4
Barcelona,Levante,1,0,H,0,0,13,24,7,13,3,4,15,12,4,2
Celta,Cadiz,4,0,H,4,0,5,8,12,5,2,24,9,1,5,2
Real Madrid,Ath Bilbao,3,1,H,1,0,5,18,10,5,4,8,9,6,6,1
Barcelona,Sociedad,2,1,H,2,1,4,14,12,4,5,18,14,2,3,3
Ath Bilbao,Huesca,2,0,H,0,0,3,10,6,3,1,9,16,5,5,0
Ath Madrid,Elche,3,1,H,1,0,6,12,8,6,3,13,14,2,5,1
Barcelona,Valencia,2,2,D,1,1,9,25,12,9,4,10,14,8,3,4
Levante,Sociedad,2,1,H,1,1,5,13,15,5,5,19,14,3,4,2
Osasuna,Villarreal,1,3,A,0,2,1,6,13,1,6,17,16,2,2,2
Sevilla,Valladolid,1,1,D,1,0,3,14,12,3,5,14,10,7,7,3
Celta,Alaves,2,0,H,1,0,3,11,8,3,2,18,12,3,5,2
Granada,Betis,2,0,H,2,0,3,8,14,3,1,21,16,1,10,3
Cadiz,Getafe,0,2,A,0,1,1,8,6,1,4,6,22,2,4,1
Eibar,Real Madrid,1,3,A,1,2,3,10,11,3,5,11,7,4,4,1
Elche,Osasuna,2,2,D,0,1,2,7,15,2,6,8,17,4,4,1
Valencia,Sevilla,0,1,A,0,0,4,10,19,4,3,11,17,3,5,3
Huesca,Levante,1,1,D,1,0,2,11,9,2,1,10,17,10,3,2
Sociedad,Ath Madrid,0,2,A,0,0,1,6,8,1,3,20,17,5,5,3
Valladolid,Barcelona,0,3,A,0,2,5,12,21,5,10,12,10,4,5,1
Villarreal,Ath Bilbao,1,1,D,0,1,6,17,9,6,3,10,18,6,4,1
Getafe,Celta,1,1,D,1,1,3,6,2,3,1,17,16,1,4,3
Real Madrid,Granada,2,0,H,0,0,6,23,10,6,1,13,11,8,1,2
Alaves,Eibar,2,1,H,2,1,3,13,8,3,4,10,14,2,7,4
Betis,Cadiz,1,0,H,0,0,1,6,6,1,3,18,9,5,5,1
Sevilla,Villarreal,2,0,H,1,0,3,10,6,3,2,13,14,4,7,1
Barcelona,Eibar,1,1,D,0,0,5,16,9,5,3,6,15,5,7,0
Cadiz,Valladolid,0,0,D,0,0,3,8,7,3,1,14,13,1,6,3
Levante,Betis,4,3,H,3,1,5,10,19,5,7,9,14,3,6,3
Granada,Valencia,2,1,H,1,1,5,24,16,5,6,16,15,6,6,4
Ath Madrid,Getafe,1,0,H,1,0,3,10,10,3,2,7,12,5,2,2
Celta,Huesca,2,1,H,1,0,6,15,17,6,6,19,8,0,5,2
Elche,Real Madrid,1,1,D,0,1,3,6,14,3,6,8,18,2,3,1
Ath Bilbao,Sociedad,0,1,A,0,1,0,4,13,0,3,23,18,2,4,5
Osasuna,Alaves,1,1,D,0,0,3,8,15,3,1,12,9,5,4,3
Villarreal,Levante,2,1,H,1,0,7,12,9,7,2,12,11,3,5,1
Betis,Sevilla,1,1,D,0,0,3,16,6,3,2,15,18,2,1,5
Getafe,Valladolid,0,1,A,0,1,4,11,8,4,2,13,13,5,9,3
Real Madrid,Celta,2,0,H,1,0,2,9,6,2,1,14,14,1,5,4
Ath Bilbao,Elche,1,0,H,1,0,2,13,5,2,2,15,13,5,4,2
Alaves,Ath Madrid,1,2,A,0,1,1,4,8,1,4,14,12,1,5,0
Eibar,Granada,2,0,H,0,0,7,15,6,7,3,10,9,4,2,2
Sociedad,Osasuna,1,1,D,0,1,2,8,6,2,2,15,8,7,2,1
Huesca,Barcelona,0,1,A,0,1,4,4,20,4,7,12,11,2,6,1
Valencia,Cadiz,1,1,D,0,0,4,11,9,4,2,11,17,9,7,2
Ath Bilbao,Barcelona,2,3,A,1,2,3,8,13,3,9,10,6,3,4,2
Celta,Villarreal,0,4,A,0,4,3,8,15,3,6,15,18,3,4,1
Sevilla,Sociedad,3,2,H,2,2,7,12,10,7,4,8,18,2,9,0
Granada,Barcelona,0,4,A,0,3,4,8,13,4,4,16,3,4,1,2
Osasuna,Real Madrid,0,0,D,0,0,2,8,9,2,1,9,3,2,4,0
Levante,Eibar,2,1,H,0,0,2,4,17,2,4,12,8,4,9,2
Cadiz,Alaves,3,1,H,1,1,7,10,5,7,2,17,10,4,1,1
Valladolid,Valencia,0,1,A,0,0,4,11,17,4,6,14,14,0,4,2
Elche,Getafe,1,3,A,1,1,4,7,14,4,7,14,16,1,7,4
Huesca,Betis,0,2,A,0,0,3,10,15,3,5,12,13,3,6,2
Granada,Osasuna,2,0,H,2,0,2,9,15,2,3,16,17,4,4,1
Ath Madrid,Sevilla,2,0,H,1,0,4,5,13,4,2,14,11,3,12,2
Cadiz,Levante,2,2,D,2,2,2,8,8,2,5,13,11,5,2,3
Valladolid,Elche,2,2,D,0,2,2,13,9,2,3,14,19,4,5,1
Alaves,Sevilla,1,2,A,1,2,3,12,7,3,3,15,14,3,2,3
Getafe,Huesca,1,0,H,0,0,5,12,15,5,3,15,14,3,8,2
Betis,Celta,2,1,H,2,1,4,12,10,4,3,13,15,5,6,2
Villarreal,Granada,2,2,D,1,1,3,9,3,3,2,11,11,3,0,2
Valencia,Osasuna,1,1,D,0,1,3,10,14,3,5,8,17,9,4,1
Eibar,Ath Madrid,1,2,A,1,1,2,12,9,2,4,24,9,3,3,2
Levante,Valladolid,2,2,D,0,0,3,11,7,3,3,16,12,8,2,0
Huesca,Villarreal,0,0,D,0,0,1,5,8,1,2,9,15,1,2,3
Sevilla,Cadiz,3,0,H,2,0,7,15,9,7,3,12,6,7,6,1
Sociedad,Betis,2,2,D,0,0,6,12,7,6,4,14,13,8,3,2
Alaves,Real Madrid,1,4,A,0,3,4,14,10,4,7,16,7,4,4,5
Osasuna,Granada,3,1,H,2,0,4,7,12,4,1,15,15,1,5,5
Elche,Barcelona,0,2,A,0,1,2,4,15,2,8,15,9,0,7,0
Celta,Eibar,1,1,D,1,0,4,7,9,4,2,10,16,0,6,4
Ath Madrid,Valencia,3,1,H,1,1,5,14,8,5,4,11,14,7,7,2
Ath Bilbao,Getafe,5,1,H,1,1,8,11,6,8,2,13,18,4,4,4
Valladolid,Huesca,1,3,A,0,1,4,14,11,4,5,12,12,6,7,2
Eibar,Sevilla,0,2,A,0,1,6,17,7,6,4,10,12,6,2,4
Real Madrid,Levante,1,2,A,1,1,2,8,14,2,8,9,20,3,7,1
Valencia,Elche,1,0,H,1,0,4,14,10,4,1,18,15,4,10,1
Villarreal,Sociedad,1,1,D,1,0,2,4,12,2,3,10,17,1,7,1
Getafe,Alaves,0,0,D,0,0,1,5,5,1,1,20,17,5,2,3
Cadiz,Ath Madrid,2,4,A,1,2,6,11,9,6,4,7,7,2,2,1
Granada,Celta,0,0,D,0,0,5,10,7,5,1,16,19,6,5,2
Barcelona,Ath Bilbao,2,1,H,1,0,6,12,7,6,2,12,20,7,3,2
Betis,Osasuna,1,0,H,0,0,4,8,15,4,5,12,6,3,4,1
Alaves,Valladolid,1,0,H,0,0,5,20,3,5,1,11,17,11,1,4
Levante,Granada,2,2,D,1,1,7,11,11,7,5,12,13,6,2,1
Huesca,Real Madrid,1,2,A,0,0,2,13,18,2,7,18,9,3,10,2
Elche,Villarreal,2,2,D,0,2,2,8,9,2,4,17,5,4,2,1
Sevilla,Getafe,3,0,H,0,0,5,17,5,5,1,10,11,3,1,1
Sociedad,Cadiz,4,1,H,2,0,6,17,2,6,1,7,7,5,1,0
Ath Bilbao,Valencia,1,1,D,1,0,2,11,15,2,2,10,8,6,6,2
Osasuna,Eibar,2,1,H,1,1,4,12,12,4,3,10,11,2,1,0
Betis,Barcelona,2,3,A,1,0,5,8,12,5,4,21,7,3,5,1
Ath Madrid,Celta,2,2,D,1,1,2,9,7,2,2,12,17,1,4,2
Real Madrid,Getafe,2,0,H,0,0,4,14,1,4,0,8,16,8,1,1
Celta,Elche,3,1,H,2,0,6,9,7,6,2,11,15,3,6,3
Granada,Ath Madrid,1,2,A,0,0,1,6,10,1,4,14,20,7,3,0
Sevilla,Huesca,1,0,H,0,0,4,14,9,4,5,14,15,6,6,3
Eibar,Valladolid,1,1,D,1,1,2,14,5,2,1,15,12,7,3,2
Barcelona,Alaves,5,1,H,2,0,9,17,6,9,2,10,14,5,4,0
Getafe,Sociedad,0,1,A,0,1,0,4,3,0,2,23,19,2,5,3
Real Madrid,Valencia,2,0,H,2,0,7,16,4,7,1,13,12,6,1,0
Levante,Osasuna,0,1,A,0,0,4,13,7,4,2,13,10,2,1,1
Villarreal,Betis,1,2,A,0,1,5,9,15,5,4,19,13,7,3,3
Cadiz,Ath Bilbao,0,4,A,0,3,2,11,13,2,8,15,13,5,8,3
Levante,Ath Madrid,1,1,D,1,1,4,7,14,4,6,10,10,1,8,1
Betis,Getafe,1,0,H,0,0,5,12,6,5,1,17,18,5,2,5
Elche,Eibar,1,0,H,1,0,2,6,13,2,3,16,9,1,4,2
Ath Madrid,Levante,0,2,A,0,1,11,28,6,11,1,10,15,12,2,2
Valencia,Celta,2,0,H,0,0,3,10,5,3,2,9,19,6,1,2
Valladolid,Real Madrid,0,1,A,0,0,5,9,10,5,2,13,11,4,5,4
Barcelona,Cadiz,1,1,D,1,0,4,20,3,4,1,13,12,8,0,0
Sociedad,Alaves,4,0,H,1,0,4,8,7,4,2,17,16,4,3,3
Huesca,Granada,3,2,H,3,1,6,15,8,6,5,13,14,5,2,3
Ath Bilbao,Villarreal,1,1,D,1,1,8,18,3,8,2,12,12,6,0,2
Osasuna,Sevilla,0,2,A,0,1,0,6,10,0,5,14,15,3,5,2
Barcelona,Elche,3,0,H,0,0,5,9,6,5,1,8,8,6,3,0
Levante,Ath Bilbao,1,1,D,1,0,4,10,11,4,5,11,13,2,10,3
Eibar,Huesca,1,1,D,0,0,3,17,4,3,1,19,11,6,2,2
Sevilla,Barcelona,0,2,A,0,1,2,4,9,2,5,20,9,3,3,5
Alaves,Osasuna,0,1,A,0,0,1,4,6,1,3,18,20,5,2,3
Getafe,Valencia,3,0,H,1,0,4,15,5,4,0,21,12,3,6,5
Celta,Valladolid,1,1,D,0,0,2,11,7,2,3,20,20,3,5,3
Cadiz,Betis,0,1,A,0,0,3,5,9,3,4,9,13,3,7,1
Granada,Elche,2,1,H,1,1,4,13,12,4,4,14,12,5,5,3
Villarreal,Ath Madrid,0,2,A,0,1,6,19,6,6,5,15,19,10,2,2
Real Madrid,Sociedad,1,1,D,0,0,2,21,6,2,2,5,10,13,4,0
Valencia,Villarreal,2,1,H,0,1,4,25,10,4,5,12,10,5,3,4
Valladolid,Getafe,2,1,H,2,1,3,4,9,3,2,16,19,1,6,2
Elche,Sevilla,2,1,H,0,0,3,6,11,3,3,16,11,6,3,4
Cadiz,Eibar,1,0,H,1,0,2,6,16,2,1,7,11,0,12,2
Osasuna,Barcelona,0,2,A,0,1,3,10,13,3,6,4,12,3,4,0
Huesca,Celta,3,4,A,2,2,7,19,10,7,7,12,21,6,3,0
Ath Madrid,Real Madrid,1,1,D,1,0,5,11,18,5,8,19,9,1,6,5
Sociedad,Levante,1,0,H,1,0,8,25,6,8,1,13,14,7,5,0
Ath Bilbao,Granada,2,1,H,1,0,5,7,13,5,3,10,10,6,9,2
Betis,Alaves,3,2,H,0,2,8,23,4,8,3,13,11,12,1,0
Ath Madrid,Ath Bilbao,2,1,H,1,1,5,11,4,5,2,12,13,5,4,2
Levante,Valencia,1,0,H,1,0,3,11,11,3,2,17,13,3,3,3
Alaves,Cadiz,1,1,D,1,0,3,9,9,3,1,22,6,2,5,3
Real Madrid,Elche,2,1,H,0,0,4,17,3,4,2,11,16,6,1,1
Osasuna,Valladolid,0,0,D,0,0,2,14,12,2,2,12,9,7,3,2
Getafe,Ath Madrid,0,0,D,0,0,2,11,15,2,7,9,17,3,11,1
Celta,Ath Bilbao,0,0,D,0,0,3,13,6,3,1,20,13,1,3,3
Granada,Sociedad,1,0,H,0,0,2,7,7,2,1,23,16,4,6,2
Eibar,Villarreal,1,3,A,0,2,7,16,13,7,8,12,9,7,2,2
Sevilla,Betis,1,0,H,1,0,3,9,13,3,3,12,14,3,6,3
Barcelona,Huesca,4,1,H,2,1,5,12,8,5,4,8,13,7,3,0
Sevilla,Elche,2,0,H,1,0,8,13,11,8,5,9,8,4,1,2
Betis,Levante,2,0,H,0,0,6,15,7,6,1,14,10,4,1,2
Ath Bilbao,Eibar,1,1,D,1,1,4,18,4,4,2,5,15,10,1,1
Celta,Real Madrid,1,3,A,1,2,3,8,16,3,4,23,13,1,7,3
Huesca,Osasuna,0,0,D,0,0,3,15,7,3,2,9,13,5,1,1
Valladolid,Sevilla,1,1,D,1,0,2,3,12,2,4,17,10,2,8,3
Getafe,Elche,1,1,D,0,1,5,12,6,5,2,17,21,4,8,3
Valencia,Granada,2,1,H,1,0,9,18,15,9,3,11,11,3,4,0
Villarreal,Cadiz,2,1,H,1,0,4,13,9,4,3,14,6,5,6,3
Ath Madrid,Alaves,1,0,H,0,0,4,8,9,4,3,17,12,5,5,3
Sociedad,Barcelona,1,6,A,0,2,5,10,14,5,10,11,12,1,1,3
Levante,Huesca,0,2,A,0,1,3,13,6,3,2,15,7,8,2,2
Granada,Villarreal,0,3,A,0,2,2,6,15,2,6,14,14,3,5,2
Real Madrid,Eibar,2,0,H,1,0,8,21,10,8,4,6,8,6,9,0
Osasuna,Getafe,0,0,D,0,0,1,4,6,1,2,23,18,2,4,2
Alaves,Celta,1,3,A,0,3,7,17,8,7,6,9,21,6,2,4
Elche,Betis,1,1,D,1,1,3,7,13,3,3,9,15,7,2,1
Cadiz,Valencia,2,1,H,1,1,2,6,12,2,6,10,7,4,13,2
Sevilla,Ath Madrid,1,0,H,0,0,5,18,9,5,4,13,11,3,2,2
Barcelona,Valladolid,1,0,H,0,0,10,25,7,10,2,12,13,4,1,3
Sociedad,Ath Bilbao,1,1,D,0,0,2,12,11,2,2,18,7,3,6,3
Huesca,Elche,3,1,H,2,1,5,8,8,5,2,17,13,6,6,2
Getafe,Cadiz,0,1,A,0,0,4,19,8,4,3,10,13,10,4,3
Ath Bilbao,Alaves,0,0,D,0,0,4,11,9,4,0,13,15,6,6,2
Eibar,Levante,0,1,A,0,1,4,10,6,4,1,9,7,6,3,3
Real Madrid,Barcelona,2,1,H,2,0,3,14,18,3,4,16,10,5,6,3
